3,NsquareTile,128_512_128,matmul_i32,MLIR,16,v4,Ns_64_64_64,1,jude_rel,32294642,,cpu-cycles,0.14%,49180040,98.49,0.649,GHz,perf-results-driver-matmul-m128_n512_k128-ACC_v4_Ns_64_64_64_3_NsquareTile-ACC-app.csv
3,NsquareTile,128_512_128,matmul_i32,MLIR,16,v4,Ns_64_64_64,1,jude_rel,1,,context-switches,37.42%,49913978,100.00,20.090,/sec,perf-results-driver-matmul-m128_n512_k128-ACC_v4_Ns_64_64_64_3_NsquareTile-ACC-app.csv
3,NsquareTile,128_512_128,matmul_i32,MLIR,16,v4,Ns_64_64_64,1,jude_rel,334,,page-faults,0.07%,49913978,100.00,6.710,K/sec,perf-results-driver-matmul-m128_n512_k128-ACC_v4_Ns_64_64_64_3_NsquareTile-ACC-app.csv
3,NsquareTile,128_512_128,matmul_i32,MLIR,16,v4,Ns_64_64_64,1,jude_rel,49.91,msec,task-clock,0.13%,49913978,100.00,0.981,CPUs utilized,perf-results-driver-matmul-m128_n512_k128-ACC_v4_Ns_64_64_64_3_NsquareTile-ACC-app.csv
3,NsquareTile,128_512_128,matmul_i32,MLIR,16,v4,Ns_64_64_64,1,jude_rel,136342,,L1-dcache-load-misses,1.69%,49936237,100.00,1.59,of all L1-dcache accesses,perf-results-driver-matmul-m128_n512_k128-ACC_v4_Ns_64_64_64_3_NsquareTile-ACC-app.csv
3,NsquareTile,128_512_128,matmul_i32,MLIR,16,v4,Ns_64_64_64,1,jude_rel,8576321,,L1-dcache-loads,0.08%,49936237,100.00,172.302,M/sec,perf-results-driver-matmul-m128_n512_k128-ACC_v4_Ns_64_64_64_3_NsquareTile-ACC-app.csv
3,NsquareTile,128_512_128,matmul_i32,MLIR,16,v4,Ns_64_64_64,1,jude_rel,9091344,,L1-dcache-stores,0.97%,40749650,81.60,182.649,M/sec,perf-results-driver-matmul-m128_n512_k128-ACC_v4_Ns_64_64_64_3_NsquareTile-ACC-app.csv
3,NsquareTile,128_512_128,matmul_i32,MLIR,16,v4,Ns_64_64_64,1,jude_rel,50661,,L1-icache-load-misses,20.02%,30721814,61.52,,,perf-results-driver-matmul-m128_n512_k128-ACC_v4_Ns_64_64_64_3_NsquareTile-ACC-app.csv
3,NsquareTile,128_512_128,matmul_i32,MLIR,16,v4,Ns_64_64_64,1,jude_rel,51024292,ns,duration_time,0.18%,51024292,100.00,1.025,G/sec,perf-results-driver-matmul-m128_n512_k128-ACC_v4_Ns_64_64_64_3_NsquareTile-ACC-app.csv
2,CsquareTiles,128_64_128,matmul_i32,MLIR,16,v4,Cs_64_64_64,1,jude_rel,632875,,branch-instructions,1.11%,1500215,7.97,33.684,M/sec,perf-results-driver-matmul-m128_n64_k128-ACC_v4_Cs_64_64_64_2_CsquareTiles-ACC-app.csv
2,CsquareTiles,128_64_128,matmul_i32,MLIR,16,v4,Cs_64_64_64,1,jude_rel,155810,,branch-misses,3.63%,11348757,60.27,24.28,of all branches,perf-results-driver-matmul-m128_n64_k128-ACC_v4_Cs_64_64_64_2_CsquareTiles-ACC-app.csv
2,CsquareTiles,128_64_128,matmul_i32,MLIR,16,v4,Cs_64_64_64,1,jude_rel,2714863,,cache-references,0.09%,18830809,100.00,144.494,M/sec,perf-results-driver-matmul-m128_n64_k128-ACC_v4_Cs_64_64_64_2_CsquareTiles-ACC-app.csv
2,CsquareTiles,128_64_128,matmul_i32,MLIR,16,v4,Cs_64_64_64,1,jude_rel,62725,,cache-misses,1.51%,18830809,100.00,2.309,of all cache refs,perf-results-driver-matmul-m128_n64_k128-ACC_v4_Cs_64_64_64_2_CsquareTiles-ACC-app.csv
